MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
AL-Birmingham,33.462372,-86.814338,SouthState,110814172,677,0.012,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,5,202,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,Synovus Financial,110814172,677,0.198,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,1,6,inf,Excellent,3007,31.48,5,4.761435832
AL-Birmingham,33.462372,-86.814338,Truist,110814172,677,0.029,1767395,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6590,17.1,2,4
AL-Birmingham,33.462372,-86.814338,US Bank,110814172,677,0.004,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,3141,38.04,8,4.594900105
AL-Birmingham,33.462372,-86.814338,United Community Bank,110814172,677,0.03,0,Credit_Cash_Management,FALSE,TRUE,0,0.034809829,0,3,107,inf,Excellent,,,,
AL-Birmingham,33.462372,-86.814338,Wells Fargo,110814172,677,0.042,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4839,76.97,20,4.540340392
AL-Birmingham,33.462372,-86.814338,Bank of America,1281702216,677,0.022,28795371,Deposits,TRUE,FALSE,,,,,,,,4836,47.7,14,4.72851153
AL-Birmingham,33.462372,-86.814338,Bryant Bank,1281702216,677,0.003,0,Deposits,FALSE,TRUE,0,0.023264556,0,7,377,inf,Good,6343,16.26,2,4.474169742
AL-Birmingham,33.462372,-86.814338,Cadence Bank,1281702216,677,0.065,15194758,Deposits,FALSE,TRUE,0.182386755,0.023264556,7.839683395,9,620,0.127556172,Poor,4551,8.55,1,2
AL-Birmingham,33.462372,-86.814338,First Horizon,1281702216,677,0.038,0,Deposits,FALSE,TRUE,0,0.023264556,0,4,95,inf,Excellent,1360,19.53,3,4.394777266
AL-Birmingham,33.462372,-86.814338,JPMorgan,1281702216,677,0.022,28795371,Deposits,TRUE,FALSE,,,,,,,,1804,24.32,7,4.421875
AL-Birmingham,33.462372,-86.814338,PNC Bank,1281702216,677,0.082,0,Deposits,TRUE,FALSE,,,,,,,,2444,43.34,7,4.526303646
AL-Birmingham,33.462372,-86.814338,Regions Bank,1281702216,677,0.272,7437281,Deposits,FALSE,TRUE,0.021333305,0.023264556,0.916987424,8,498,1.090527497,Good,2665,84.86,12,4.18548197
AL-Birmingham,33.462372,-86.814338,River Bank & Trust,1281702216,677,0.013,0,Deposits,FALSE,TRUE,0,0.023264556,0,5,228,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,ServisFirst Bank,1281702216,677,0.181,0,Deposits,FALSE,TRUE,0,0.023264556,0,1,7,inf,Excellent,5836,36.2,5,4.875138122
AL-Birmingham,33.462372,-86.814338,SouthState,1281702216,677,0.076,0,Deposits,FALSE,TRUE,0,0.023264556,0,3,37,inf,Excellent,,,,
AL-Birmingham,33.462372,-86.814338,Synovus Financial,1281702216,677,0.106,0,Deposits,FALSE,TRUE,0,0.023264556,0,2,23,inf,Excellent,3007,31.48,5,4.761435832
AL-Birmingham,33.462372,-86.814338,Truist,1281702216,677,0.04,51740283,Deposits,TRUE,FALSE,,,,,,,,6590,17.1,2,4
AL-Birmingham,33.462372,-86.814338,US Bank,1281702216,677,0.003,0,Deposits,TRUE,FALSE,,,,,,,,3141,38.04,8,4.594900105
AL-Birmingham,33.462372,-86.814338,United Community Bank,1281702216,677,0.005,0,Deposits,FALSE,TRUE,0,0.023264556,0,6,331,inf,Good,,,,
AL-Birmingham,33.462372,-86.814338,Wells Fargo,1281702216,677,0.067,0,Deposits,TRUE,FALSE,,,,,,,,4839,76.97,20,4.540340392
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,ADP Claims Solutions Group,331419363,2042,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,7,19.88,2,4.407947686
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alerus Financial,331419363,2042,0.015,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5337,11.77,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alliance Bank of Arizona,331419363,2042,0.014,173733,Credit_Cash_Management,FALSE,TRUE,0.037443497,0.071946146,0.520437847,6,533,1.921459029,Fair,5855,19.88,2,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Ally Bank (formerly GMAC),331419363,2042,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5221,11.77,1,4
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,American Express,331419363,2042,0.005,146825,Credit_Cash_Management,TRUE,FALSE,,,,,,,,171,84.53,10,4.462202768
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BMO,331419363,2042,0.057,7440586,Credit_Cash_Management,TRUE,FALSE,,,,,,,,303,77.87,11,3.753948889
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BOK Financial,331419363,2042,0.01,274966,Credit_Cash_Management,FALSE,TRUE,0.082966184,0.071946146,1.15317066,7,571,0.867174335,Fair,430,30.9,3,4.666666667
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Bank of America,331419363,2042,0.038,7402008,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4836,166.7,27,4.205158968
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Blackbaud,331419363,2042,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6031,14.36,2,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,CIBC,331419363,2042,0.001,39833,Credit_Cash_Management,FALSE,TRUE,0.120189115,0.071946146,1.67054279,9,597,0.598607833,Poor,628,13.97,2,3
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Capital One,331419363,2042,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4859,63.35,11,4.558168903
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Caterpillar Inc.,331419363,2042,0.006,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,727,10.3,1,4
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Desert Schools Federal Credit Union,331419363,2042,0.001,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1054,11.77,1,4
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Enterprise Bank (MO),331419363,2042,0.011,1843816,Credit_Cash_Management,FALSE,TRUE,0.505762955,0.071946146,7.029743555,10,690,0.1422527,Poor,1171,8.11,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Fifth Third Bank,331419363,2042,0,0,Credit_Cash_Management,FALSE,TRUE,0,0.071946146,0,5,436,inf,Good,1273,13.98,3,4.290414878
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,First Citizens Bank & Trust (NC/VA),331419363,2042,0.003,0,Credit_Cash_Management,FALSE,TRUE,0,0.071946146,0,4,340,inf,Good,1299,8.11,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Flagstar,331419363,2042,0.018,0,Credit_Cash_Management,FALSE,TRUE,0,0.071946146,0,3,167,inf,Good,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Ford Motor,331419363,2042,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Global Payments,331419363,2042,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6035,23.54,2,3.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,HSBC,331419363,2042,0,74038,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1570,18,4,3.635
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,JPMorgan,331419363,2042,0.192,3251932,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1804,373.1,51,4.292146878
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,MidFirst Bank,331419363,2042,0.051,0,Credit_Cash_Management,FALSE,TRUE,0,0.071946146,0,2,55,inf,Excellent,2174,49.67,5,4.763036038
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Northern Trust Bank,331419363,2042,0.001,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PNC Bank,331419363,2042,0.137,3335648,Credit_Cash_Management,TRUE,FALSE,,,,,,,,2444,143.88,20,4.409438421
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PayPal,331419363,2042,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5894,58.13,7,4.253397557
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Square,331419363,2042,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5895,20.6,2,2.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UBS Warburg Dillon Read,331419363,2042,0.014,2636004,Credit_Cash_Management,TRUE,FALSE,,,,,,,,3151,11.72,2,3.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UMB Bank,331419363,2042,0.101,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,3158,16.22,2,4.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,US Bank,331419363,2042,0.021,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,3141,225.45,35,4.450299401
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Wells Fargo ,331419363,2042,0.183,5941640,Credit_Cash_Management,TRUE,FALSE,0.097966449,0.071946146,1.361663616,8,581,0.73439577,Fair,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Zions Bank,331419363,2042,0.056,0,Credit_Cash_Management,FALSE,TRUE,0,0.071946146,0,1,45,inf,Excellent,3369,51.52,6,4
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alerus Financial,3648450392,2042,0.018,0,Deposits,TRUE,FALSE,,,,,,,,5337,11.77,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Alliance Bank of Arizona,3648450392,2042,0.015,18809267,Deposits,FALSE,TRUE,0.343694171,0.107862359,3.186414377,7,587,0.313832378,Poor,5855,19.88,2,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BMO,3648450392,2042,0.051,61124861,Deposits,TRUE,FALSE,,,,,,,,303,77.87,11,3.753948889
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,BOK Financial,3648450392,2042,0.027,0,Deposits,FALSE,TRUE,0,0.107862359,0,3,138,inf,Excellent,430,30.9,3,4.666666667
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Bank of America,3648450392,2042,0.063,95906691,Deposits,TRUE,FALSE,,,,,,,,4836,166.7,27,4.205158968
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Desert Schools Federal Credit Union,3648450392,2042,0.005,0,Deposits,TRUE,FALSE,,,,,,,,1054,11.77,1,4
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Enterprise Bank (MO),3648450392,2042,0.011,13347625,Deposits,FALSE,TRUE,0.332585159,0.107862359,3.083421897,6,582,0.324315009,Poor,1171,8.11,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,First Citizens Bank & Trust (NC/VA),3648450392,2042,0.019,0,Deposits,FALSE,TRUE,0,0.107862359,0,4,177,inf,Good,1299,8.11,1,5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,JPMorgan,3648450392,2042,0.21,19390866,Deposits,TRUE,FALSE,,,,,,,,1804,373.1,51,4.292146878
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,MidFirst Bank,3648450392,2042,0.049,0,Deposits,FALSE,TRUE,0,0.107862359,0,2,68,inf,Excellent,2174,49.67,5,4.763036038
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Northern Trust Bank,3648450392,2042,0.01,0,Deposits,TRUE,FALSE,,,,,,,,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,PNC Bank,3648450392,2042,0.1,31368657,Deposits,TRUE,FALSE,,,,,,,,2444,143.88,20,4.409438421
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,UMB Bank,3648450392,2042,0.109,0,Deposits,TRUE,FALSE,,,,,,,,3158,16.22,2,4.5
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,US Bank,3648450392,2042,0.013,0,Deposits,TRUE,FALSE,,,,,,,,3141,225.45,35,4.450299401
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Wells Fargo ,3648450392,2042,0.244,133519434,Deposits,TRUE,FALSE,0.149984442,0.107862359,1.390516981,5,523,0.719156985,Fair,,,,
AZ-Phoenix-Mesa-Chandler,33.185765,-112.067862,Zions Bank,3648450392,2042,0.056,0,Deposits,FALSE,TRUE,0,0.107862359,0,1,51,inf,Excellent,3369,51.52,6,4
CA-Fresno,36.879404,-119.668488,Bank of America,59191028,356,0.328,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4836,2.5,3,5
CA-Fresno,36.879404,-119.668488,Bank of the Sierra,59191028,356,0.061,0,Credit_Cash_Management,FALSE,TRUE,0,0.368138156,0,1,40,inf,Excellent,,,,
CA-Fresno,36.879404,-119.668488,Comerica Bank,59191028,356,0.021,0,Credit_Cash_Management,FALSE,TRUE,0,0.368138156,0,2,144,inf,Excellent,868,1,1,4
CA-Fresno,36.879404,-119.668488,DLL,59191028,356,0.101,5991296,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,First Bank (NC),59191028,356,0.061,3617219,Credit_Cash_Management,FALSE,TRUE,1.001818589,0.368138156,2.721311475,5,636,0.36746988,Poor,,,,
CA-Fresno,36.879404,-119.668488,PayPal,59191028,356,0.001,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5894,2.5,3,3.2
CA-Fresno,36.879404,-119.668488,Square,59191028,356,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5895,1,1,4
CA-Fresno,36.879404,-119.668488,UMB Bank,59191028,356,0.19,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,US Bank,59191028,356,0.021,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,3141,2,3,4.75
CA-Fresno,36.879404,-119.668488,Wells Fargo ,59191028,356,0.014,0,Credit_Cash_Management,TRUE,FALSE,0,0.368138156,0,3,186,inf,Good,,,,
CA-Fresno,36.879404,-119.668488,Westamerica Bank,59191028,356,0.009,0,Credit_Cash_Management,FALSE,TRUE,0,0.368138156,0,4,242,inf,Good,3299,1,1,5
CA-Fresno,36.879404,-119.668488,Bank of America,583964304,356,0.495,0,Deposits,TRUE,FALSE,,,,,,,,4836,2.5,3,5
CA-Fresno,36.879404,-119.668488,Bank of the Sierra,583964304,356,0.102,0,Deposits,FALSE,TRUE,0,0.158093813,0,2,26,inf,Excellent,,,,
CA-Fresno,36.879404,-119.668488,Comerica Bank,583964304,356,0.123,0,Deposits,FALSE,TRUE,0,0.158093813,0,1,16,inf,Excellent,868,1,1,4
CA-Fresno,36.879404,-119.668488,First Bank (NC),583964304,356,0.058,34066502,Deposits,FALSE,TRUE,1.005803743,0.158093813,6.362068966,5,614,0.157181572,Poor,,,,
CA-Fresno,36.879404,-119.668488,UMB Bank,583964304,356,0.106,0,Deposits,TRUE,FALSE,,,,,,,,,,,
CA-Fresno,36.879404,-119.668488,US Bank,583964304,356,0.029,0,Deposits,TRUE,FALSE,,,,,,,,3141,2,3,4.75
CA-Fresno,36.879404,-119.668488,Wells Fargo ,583964304,356,0.053,0,Deposits,TRUE,FALSE,0,0.158093813,0,3,57,inf,Excellent,,,,
CA-Fresno,36.879404,-119.668488,Westamerica Bank,583964304,356,0.033,0,Deposits,FALSE,TRUE,0,0.158093813,0,4,110,inf,Excellent,3299,1,1,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,ADP Claims Solutions Group,1294529972,7674,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,7,52.72,5,4
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Ally Bank (formerly GMAC),1294529972,7674,0.006,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5221,38.67,6,4.661753297
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,American Express,1294529972,7674,0.009,3974241,Credit_Cash_Management,TRUE,FALSE,,,,,,,,171,610.16,55,4.266995542
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Authorize.Net,1294529972,7674,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6030,81.61,7,4.3232447
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,BMO,1294529972,7674,0.052,24696825,Credit_Cash_Management,TRUE,FALSE,,,,,,,,303,329.96,38,3.902200267
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Banc of California,1294529972,7674,0.012,7114136,Credit_Cash_Management,FALSE,TRUE,0.457961329,0.107766667,4.249563818,26,666,0.235318269,Poor,6302,103.16,12,4.300504071
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of America,1294529972,7674,0.081,5921977,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4836,1132.93,159,4.417810456
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of Hope(CA),1294529972,7674,0.009,5972424,Credit_Cash_Management,FALSE,TRUE,0.51262055,0.107766667,4.756763518,27,673,0.210226974,Poor,6349,26.38,2,4.008339651
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bank of Nevada,1294529972,7674,0,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,16,437,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Banner Bank,1294529972,7674,0.01,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,5,225,inf,Good,457,26.38,3,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,BluePay,1294529972,7674,0,24608,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6112,13.08,1,3
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bridge Bank,1294529972,7674,0.005,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,9,300,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CIBC,1294529972,7674,0.003,3822168,Credit_Cash_Management,FALSE,TRUE,0.984184243,0.107766667,9.13254784,29,701,0.109498468,Poor,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CIT,1294529972,7674,0.002,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,14,362,inf,Good,639,9.03,1,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CTBC Bank,1294529972,7674,0.004,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,12,317,inf,Good,781,13.08,1,4
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Capital One,1294529972,7674,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,4859,323.52,42,4.247990851
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Cass Commercial Bank,1294529972,7674,0.001,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,15,396,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Cathay United Bank,1294529972,7674,0.011,528793,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5244,32.9,3,3.409726444
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Charles Schwab,1294529972,7674,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,762,78.92,6,4.165737456
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citi,1294529972,7674,0.016,4978459,Credit_Cash_Management,TRUE,FALSE,,,,,,,,804,531.6,77,4.51358164
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citizens Bank,1294529972,7674,0.01,12491666,Credit_Cash_Management,FALSE,TRUE,0.96495765,0.107766667,8.954138385,28,699,0.111680204,Poor,4841,46.23,7,4.1951114
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citizens Business Bank (CA),1294529972,7674,0.024,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,2,129,inf,Excellent,812,134.85,15,4.436633296
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,City National Bank (CA),1294529972,7674,0.056,13101637,Credit_Cash_Management,FALSE,TRUE,0.180727993,0.107766667,1.677030549,23,598,0.596292059,Fair,820,181.09,20,4.329283782
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CoBiz Bank NA,1294529972,7674,0.04,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,1,77,inf,Excellent,836,86.15,8,4.638537435
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Comerica Bank,1294529972,7674,0.039,10037681,Credit_Cash_Management,FALSE,TRUE,0.198818445,0.107766667,1.844897409,24,607,0.54203556,Fair,868,53.16,6,3.181903687
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,DLL,1294529972,7674,0.002,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6034,13.08,1,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Deutsche Bank,1294529972,7674,0.001,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1058,13.3,1,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,East-West Bank,1294529972,7674,0.035,226830,Credit_Cash_Management,FALSE,TRUE,0.00500634,0.107766667,0.046455366,20,494,21.52603852,Excellent,1134,117.59,10,4.565524279
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Farmers and Merchants Bank (CA),1294529972,7674,0.045,14267,Credit_Cash_Management,FALSE,TRUE,0.000244911,0.107766667,0.002272603,18,480,440.0240501,Excellent,1238,107.46,9,4.5790992
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Fifth Third Bank,1294529972,7674,0.009,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,6,243,inf,Good,1273,11.16,2,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,First Bank (MO),1294529972,7674,0.008,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,7,254,inf,Good,1291,39.99,5,4.667416854
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,First Citizens Bank & Trust (NC/VA),1294529972,7674,0.021,1923505,Credit_Cash_Management,FALSE,TRUE,0.070755779,0.107766667,0.6565646,21,543,1.523079374,Good,1299,47.78,6,4.695897865
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,First Republic Bank,1294529972,7674,0.012,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,4,203,inf,Good,1350,26.16,2,4.5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Ford Motor,1294529972,7674,0.005,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Global Payments,1294529972,7674,0,18731,Credit_Cash_Management,TRUE,FALSE,,,,,,,,6035,39.46,3,3.662949823
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,HSBC,1294529972,7674,0.001,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1570,129.49,23,4.407599042
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Hanmi Bank,1294529972,7674,0.005,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,10,301,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Huntington National Bank,1294529972,7674,0.006,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,8,281,inf,Good,1676,9.03,1,5
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,ING,1294529972,7674,0,418788,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5273,6.74,1,2
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Intuit GoPayment,1294529972,7674,0,0,Credit_Cash_Management,TRUE,FALSE,,,,,,,,5877,13.3,1,4
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,JPMorgan,1294529972,7674,0.067,18282016,Credit_Cash_Management,TRUE,FALSE,,,,,,,,1804,1057.02,142,4.363824715
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,KeyBank,1294529972,7674,0.003,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,13,341,inf,Good,1886,6.36,2,4.059748428
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Manufacturers Bank,1294529972,7674,0.005,0,Credit_Cash_Management,FALSE,TRUE,0,0.107766667,0,11,302,inf,Good,2064,26.16,2,5
